"","country","long","lat"
"1","Aruba",-69.98267711,12.52088038
"2","Afghanistan",66.00473366,33.83523073
"3","Angola",17.53736768,-12.29336054
"4","Anguilla",-63.06498927,18.2239595
"5","Albania",20.04983396,41.14244989
"6","Aland",19.95328768,60.21488688
"7","Andorra",1.56054378,42.54229102
"8","United Arab Emirates",54.3001671,23.90528188
"9","Argentina",-65.17980692,-35.3813488
"10","Armenia",44.92993276,40.28952569
"11","American Samoa",-170.7180258,-14.30445997
"12","Antarctica",19.92108951,-80.50857913
"13","Ashmore and Cartier Is.",123.5838379,-12.42993164
"14","Fr. S. Antarctic Lands",69.22666758,-49.24895485
"15","Antigua and Barb.",-61.79469343,17.2774996
"16","Australia",134.4910001,-25.73288704
"17","Austria",14.1264761,47.58549439
"18","Azerbaijan",47.54599879,40.28827235
"19","Burundi",29.87512156,-3.35939666
"20","Belgium",4.64065114,50.63981576
"21","Benin",2.32785254,9.6417597
"22","Burkina Faso",-1.75456601,12.26953846
"23","Bangladesh",90.23812743,23.86731158
"24","Bulgaria",25.21552909,42.76890318
"25","Bahrain",50.54196932,26.04205135
"26","Canada",-98.30777028,61.36206324
"27","Bahamas",-76.62843038,24.29036702
"28","Bosnia and Herz.",17.76876733,44.17450125
"29","St-Barth̩lemy",-62.84067779,17.89880451
"30","Belarus",28.03209307,53.53131377
"31","Belize",-88.71010486,17.20027509
"32","Bermuda",-64.7545589,32.31367802
"33","Bolivia",-64.68538645,-16.70814787
"34","Brazil",-53.09783113,-10.78777702
"35","Barbados",-59.559797,13.18145428
"36","Brunei",114.7220304,4.51968958
"37","Bhutan",90.40188155,27.41106589
"38","Botswana",23.79853368,-22.18403213
"39","Central African Rep.",20.46826831,6.56823297
"40","Switzerland",8.20867471,46.79785878
"41","Chile",-71.38256213,-37.73070989
"42","China",103.8190735,36.56176546
"43","C̫te d'Ivoire",-5.5692157,7.6284262
"44","Cameroon",12.73964156,5.69109849
"45","Dem. Rep. Congo",23.64396107,-2.87746289
"46","Congo",15.21965762,-0.83787463
"47","Cook Is.",-159.7872422,-21.21927288
"48","Colombia",-73.08114582,3.91383431
"49","Comoros",43.68253968,-11.87783444
"50","Cape Verde",-23.9598882,15.95523324
"51","Costa Rica",-84.19208768,9.97634464
"52","Cuba",-79.01605384,21.62289528
"53","Cura̤ao",-68.97119369,12.19551675
"54","Cayman Is.",-80.91213321,19.42896497
"55","N. Cyprus",33.5684813,35.26277486
"56","Cyprus",33.0060022,34.91667211
"57","Czech Rep.",15.31240163,49.73341233
"58","Germany",10.38578051,51.10698181
"59","Djibouti",42.5606754,11.74871806
"60","Dominica",-61.357726,15.4394702
"61","Denmark",10.02800992,55.98125296
"62","Dominican Rep.",-70.50568896,18.89433082
"63","Algeria",2.61732301,28.15893849
"64","Ecuador",-78.75201922,-1.42381612
"65","Egypt",29.86190099,26.49593311
"66","Eritrea",38.84617011,15.36186618
"67","Spain",-3.64755047,40.24448698
"68","Estonia",25.54248537,58.67192972
"69","Ethiopia",39.60080098,8.62278679
"70","Finland",26.2746656,64.49884603
"71","Fiji",165.4519543,-17.42858032
"72","Falkland Is.",-59.35238956,-51.74483954
"73","France",-2.76172945,42.17344011
"74","Faeroe Is.",-6.88095423,62.05385403
"75","Micronesia",153.2394379,7.45246814
"76","Gabon",11.7886287,-0.58660025
"77","United Kingdom",-2.86563164,54.12387156
"78","Georgia",43.50780252,42.16855755
"79","Guernsey",-2.57239064,49.46809761
"80","Ghana",-1.21676566,7.95345644
"81","Guinea",-10.94066612,10.43621593
"82","Gambia",-15.39601295,13.44965244
"83","Guinea-Bissau",-14.94972445,12.04744948
"84","Eq. Guinea",10.34137924,1.70555135
"85","Greece",22.95555794,39.07469623
"86","Grenada",-61.68220189,12.11725044
"87","Greenland",-41.34191127,74.71051289
"88","Guatemala",-90.36482009,15.69403664
"89","Guam",144.7679102,13.44165626
"90","Guyana",-58.98202459,4.79378034
"91","Hong Kong",114.1138045,22.39827737
"92","Heard I. and McDonald Is.",73.5205171,-53.08724656
"93","Honduras",-86.6151661,14.82688165
"94","Croatia",16.40412899,45.08047631
"95","Haiti",-72.68527509,18.93502563
"96","Hungary",19.39559116,47.16277506
"97","Indonesia",117.2401137,-2.21505456
"98","Isle of Man",-4.53873952,54.22418911
"99","India",79.6119761,22.88578212
"100","Indian Ocean Ter.",104.851898,-10.6478515
"101","Br. Indian Ocean Ter.",72.44541229,-7.33059751
"102","Ireland",-8.13793569,53.1754487
"103","Iran",54.27407004,32.57503292
"104","Iraq",43.74353149,33.03970582
"105","Iceland",-18.57396167,64.99575386
"106","Israel",35.00444693,31.46110101
"107","Italy",12.07001339,42.79662641
"108","Jamaica",-77.31482593,18.15694878
"109","Jersey",-2.12689938,49.21837377
"110","Jordan",36.77136104,31.24579091
"111","Japan",138.0308956,37.59230135
"112","Siachen Glacier",77.18011865,35.39236325
"113","Kazakhstan",67.29149357,48.15688067
"114","Kenya",37.79593973,0.59988022
"115","Kyrgyzstan",74.54165513,41.46221943
"116","Cambodia",104.9069433,12.72004786
"117","Kiribati",-45.61110513,0.86001503
"118","St. Kitts and Nevis",-62.68755265,17.2645995
"119","Korea",127.8391609,36.38523983
"120","Kosovo",20.87249811,42.57078707
"121","Kuwait",47.58700459,29.33431262
"122","Lao PDR",103.7377241,18.50217433
"123","Lebanon",35.88016072,33.92306631
"124","Liberia",-9.32207573,6.45278492
"125","Libya",18.00866169,27.03094495
"126","Saint Lucia",-60.96969923,13.89479481
"127","Liechtenstein",9.53574312,47.13665835
"128","Sri Lanka",80.70108238,7.61266509
"129","Lesotho",28.22723131,-29.58003188
"130","Lithuania",23.88719355,55.32610984
"131","Luxembourg",6.07182201,49.76725361
"132","Latvia",24.91235983,56.85085163
"133","Macao",113.5093212,22.22311688
"134","St-Martin",-63.05972851,18.08888611
"135","Morocco",-8.45615795,29.83762955
"136","Monaco",7.40627677,43.75274627
"137","Moldova",28.45673372,47.19498804
"138","Madagascar",46.70473674,-19.37189587
"139","Maldives",73.45713004,3.7287092
"140","Mexico",-102.5234517,23.94753724
"141","Marshall Is.",170.3397612,7.00376358
"142","Macedonia",21.68211346,41.59530893
"143","Mali",-3.54269065,17.34581581
"144","Malta",14.40523316,35.92149632
"145","Myanmar",96.48843321,21.18566599
"146","Montenegro",19.23883939,42.78890259
"147","Mongolia",103.0529977,46.82681544
"148","N. Mariana Is.",145.6196965,15.82927563
"149","Mozambique",35.53367543,-17.27381643
"150","Mauritania",-10.34779815,20.25736706
"151","Montserrat",-62.18518546,16.73941406
"152","Mauritius",57.57120551,-20.27768704
"153","Malawi",34.28935599,-13.21808088
"154","Malaysia",109.6976228,3.78986846
"155","Namibia",17.20963567,-22.13032568
"156","New Caledonia",165.6849237,-21.29991806
"157","Niger",9.38545882,17.41912493
"158","Norfolk Island",167.9492168,-29.0514609
"159","Nigeria",8.08943895,9.59411452
"160","Nicaragua",-85.0305297,12.84709429
"161","Niue",-169.8699468,-19.04945708
"162","Netherlands",5.28144793,52.1007899
"163","Norway",15.34834656,68.75015572
"164","Nepal",83.9158264,28.24891365
"165","Nauru",166.9325682,-0.51912639
"166","New Zealand",171.4849235,-41.81113557
"167","Oman",56.09166155,20.60515333
"168","Pakistan",69.33957937,29.9497515
"169","Panama",-80.11915156,8.51750797
"170","Pitcairn Is.",-128.317042,-24.36500535
"171","Peru",-74.38242685,-9.15280381
"172","Philippines",122.8839325,11.77536778
"173","Palau",134.4080797,7.28742784
"174","Papua New Guinea",145.2074475,-6.46416646
"175","Poland",19.39012835,52.12759564
"176","Puerto Rico",-66.47307604,18.22813055
"177","Dem. Rep. Korea",127.1924797,40.15350311
"178","Portugal",-8.50104361,39.59550671
"179","Paraguay",-58.40013703,-23.22823913
"180","Palestine",35.19628705,31.91613893
"181","Fr. Polynesia",-144.9049439,-14.72227409
"182","Qatar",51.18479632,25.30601188
"183","Romania",24.97293039,45.85243127
"184","Russia",96.68656112,61.98052209
"185","Rwanda",29.91988515,-1.99033832
"186","W. Sahara",-12.21982755,24.22956739
"187","Saudi Arabia",44.53686271,24.12245841
"188","Sudan",29.94046812,15.99035669
"189","S. Sudan",30.24790002,7.30877945
"190","Senegal",-14.4734924,14.36624173
"191","Singapore",103.8172559,1.35876087
"192","S. Geo. and S. Sandw. Is.",-36.43318388,-54.46488248
"193","Saint Helena",-9.54779416,-12.40355951
"194","Solomon Is.",159.6328767,-8.92178022
"195","Sierra Leone",-11.79271247,8.56329593
"196","El Salvador",-88.87164469,13.73943744
"197","San Marino",12.45922334,43.94186747
"198","Somaliland",46.25198395,9.73345496
"199","Somalia",45.70714487,4.75062876
"200","St. Pierre and Miquelon",-56.30319779,46.91918789
"201","Serbia",20.78958334,44.2215032
"202","Ṣo Tom̩ and Principe",6.72429658,0.44391445
"203","Suriname",-55.9123457,4.13055413
"204","Slovakia",19.47905218,48.70547528
"205","Slovenia",14.80444238,46.11554772
"206","Sweden",16.74558049,62.77966519
"207","Swaziland",31.4819369,-26.55843045
"208","Sint Maarten",-63.05713363,18.05081728
"209","Seychelles",55.47603279,-4.66099094
"210","Syria",38.50788204,35.02547389
"211","Turks and Caicos Is.",-71.97387881,21.83047572
"212","Chad",18.64492513,15.33333758
"213","Togo",0.96232845,8.52531356
"214","Thailand",101.0028813,15.11815794
"215","Tajikistan",71.01362631,38.5304539
"216","Turkmenistan",59.37100021,39.11554137
"217","Timor-Leste",125.8443898,-8.82889162
"218","Tonga",-174.8098734,-20.42843174
"219","Trinidad and Tobago",-61.26567923,10.45733408
"220","Tunisia",9.55288359,34.11956246
"221","Turkey",35.16895346,39.0616029
"222","Taiwan",120.9542728,23.7539928
"223","Tanzania",34.81309981,-6.27565408
"224","Uganda",32.36907971,1.27469299
"225","Ukraine",31.38326469,48.99656673
"226","Uruguay",-56.01807053,-32.79951534
"227","United States",-112.4616737,45.6795472
"228","Uzbekistan",63.14001528,41.75554225
"229","Vatican",12.43387177,41.90174985
"230","St. Vin. and Gren.",-61.20129695,13.22472269
"231","Venezuela",-66.18184123,7.12422421
"232","British Virgin Is.",-64.47146992,18.52585755
"233","U.S. Virgin Is.",-64.80301538,17.95500624
"234","Vietnam",106.299147,16.6460167
"235","Vanuatu",167.6864464,-16.22640909
"236","Wallis and Futuna Is.",-177.3483483,-13.88737039
"237","Samoa",-172.1648506,-13.75324346
"238","Yemen",47.58676189,15.90928005
"239","South Africa",25.08390093,-29.00034095
"240","Zambia",27.77475946,-13.45824152
"241","Zimbabwe",29.8514412,-19.00420419
